,"Author: Picanço Diniz, C. W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 26 (Of the 122 documents considered for the h-index, 26 have been cited at least 26 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2016,"Virus infections on prion diseased mice exacerbate inflammatory microglial response",19420900,"Oxidative Medicine and Cellular Longevity","2016","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0,0,0,0,8,0,8
2016,"Microglia and neurons in the hippocampus of migratory sandpipers",0100879X,"Brazilian Journal of Medical and Biological Research","49","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,3,2,0,0,1,0,17,0,17
2015,"Beneficial effects of multisensory and cognitive stimulation in institutionalized elderly: 12-months follow-up",11769092,"Clinical Interventions in Aging","10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,3,2,1,2,1,1,23,0,23
2015,"Three-dimensional morphometric analysis of microglial changes in a mouse model of virus encephalitis: Age and environmental influences",0953816X,"European Journal of Neuroscience","42","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,6,2,1,4,1,1,24,0,24
2014,"CANTAB object recognition and language tests to detect aging cognitive decline: An exploratory comparative study",11769092,"Clinical Interventions in Aging","10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,4,5,7,5,5,7,7,4,4,59,0,59
2014,"Visuospatial learning and memory in the Cebus apella and microglial morphology in the molecular layer of the dentate gyrus and CA1 lacunosum molecular layer",08910618,"Journal of Chemical Neuroanatomy","61","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,6,1,2,2,0,1,1,0,18,0,18
2014,"Topography and architecture of visual and somatosensory areas of the agouti",00219967,"Journal of Comparative Neurology","522","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,3,0,1,1,0,0,13,0,13
2014,"Beneficial effects of multisensory and cognitive stimulation on age-related cognitive decline in long-term-care institutions",11769092,"Clinical Interventions in Aging","9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,2,3,6,6,4,3,7,5,5,57,0,57
2014,"In vitro cytokines profile and ultrastructural changes of microglia and macrophages following interaction with Leishmania",00311820,"Parasitology","141","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,1,0,2,0,11,0,11
2013,"Enriched environment and masticatory activity rehabilitation recover spatial memory decline in aged mice",14712202,"BMC Neuroscience","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,2,2,5,3,4,0,0,26,0,26
2013,"Litter size, age-related memory impairments, and microglial changes in rat dentate gyrus: Stereological analysis and three dimensional morphometry",03064522,"Neuroscience","238","",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,3,0,0,2,2,3,0,1,21,0,21
2013,"Aging and environmental enrichment exacerbate inflammatory response on antibody-enhanced dengue disease in immunocompetent murine model",1721727X,"European Journal of Inflammation","11","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,6,0,6
2012,"Environmental influences on antibody-enhanced dengue disease outcomes",00740276,"Memorias do Instituto Oswaldo Cruz","107","8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,6,0,6
2012,"Aging, environmental enrichment, object recognition and astrocyte plasticity in dentate gyrus",,"Astrocytes: Structure, Functions and Role in Disease","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,4,0,4
2012,"Differential vulnerability of substantia nigra and corpus striatum to oxidative insult induced by reduced dietary levels of essential fatty acids",16625161,"Frontiers in Human Neuroscience","","AUGUST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,1,4,1,1,1,0,1,1,0,0,23,0,23
2012,"Dendritic structure varies as a function of eccentricity in V1: A quantitative study of NADPH diaphorase neurons in the diurnal South American rodent agouti, Dasyprocta prymnolopha",03064522,"Neuroscience","216","",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,1,1,0,0,0,1,1,0,11,0,11
2012,"Dopaminergic cell populations of the rat substantia nigra are differentially affected by essential fatty acid dietary restriction over two generations",08910618,"Journal of Chemical Neuroanatomy","44","2",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,1,2,0,1,1,1,0,0,0,0,15,0,15
2012,"Morphometric variability of nicotinamide adenine dinucleotide phosphate diaphorase neurons in the primary sensory areas of the rat",03064522,"Neuroscience","205","",0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,1,0,2,3,1,6,3,1,0,0,26,0,26
2012,"Spatial memory decline after masticatory deprivation and aging is associated with altered laminar distribution of CA1 astrocytes",14712202,"BMC Neuroscience","13","1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,4,2,2,3,2,6,1,2,0,29,0,29
2011,"Influence of enriched environment on viral encephalitis outcomes: Behavioral and neuropathological changes in albino Swiss mice",19326203,"PLoS ONE","6","1",0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,3,1,3,5,2,5,2,1,0,0,4,39,0,39
2011,"Early behavioral changes and quantitative analysis of neuropathological features in murine prion disease: Stereological analysis in the albino Swiss mice model",19336896,"Prion","5","3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,2,0,0,1,1,0,9,0,9
2011,"Enriched environment contributes to recovery of visual acuity and increases perineuronal nets in monocular-deprived animals",19843054,"Psychology and Neuroscience","4","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,3
2010,"S1 to S2 hind- and forelimb projections in the agouti somatosensory cortex: Axon fragments morphological analysis",08910618,"Journal of Chemical Neuroanatomy","40","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0,8,0,8
2010,"Adult brain nitrergic activity after concomitant prenatal exposure to ethanol and methyl mercury",00651281,"Acta Histochemica","112","6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,1,0,1,0,8,0,8
2010,"Hippocampus and dentate gyrus of the Cebus monkey: Architectonic and stereological study",08910618,"Journal of Chemical Neuroanatomy","40","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,4
2010,"Environmental impoverishment and aging alter object recognition, spatial learning, and dentate gyrus astrocytes",0953816X,"European Journal of Neuroscience","32","3",0,0,0,0,0,0,0,0,0,0,0,3,5,6,9,6,6,8,5,5,5,6,5,4,5,2,2,82,0,82
2010,"Minocycline treatment reduces white matter damage after excitotoxic striatal injury",00068993,"Brain Research","1329","",0,0,0,0,0,0,0,0,0,0,1,2,6,3,1,3,6,1,4,0,1,3,3,2,1,0,0,37,0,37
2010,"Morphological variability of NADPH diaphorase neurons across areas V1, V2, and V3 of the common agouti",00068993,"Brain Research","1318","",0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1,1,0,0,0,1,1,0,11,0,11
2009,"Number and distribution of neurons in the retinal ganglion cell layer in relation to foraging behaviors of tyrant flycatchers",00219967,"Journal of Comparative Neurology","514","1",0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,7,6,9,4,6,7,7,5,2,0,1,1,72,0,72
2009,"Mechanisms of secondary degeneration in the central nervous system during acute neural disorders and white matter damage",02100010,"Revista de Neurologia","48","6",0,0,0,0,0,0,0,0,0,3,9,5,4,0,3,4,3,4,1,2,3,1,0,5,0,1,1,49,0,49
2008,"Three dimensional morphometric analyses of axon terminals early changes induced by methylmercury intoxication in the adult cat striate cortex",00068993,"Brain Research","1244","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2008,"Spatiotemporal distribution of proteoglycans in the developing rat's barrel field and the effects of early deafferentation",00219967,"Journal of Comparative Neurology","510","2",0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,12,0,12
2008,"Histochemical characterization, distribution and morphometric analysis of NADPH diaphorase neurons in the spinal cord of the agouti",16625129,"Frontiers in Neuroanatomy","2","MAY",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,8,0,8
2008,"Inflammatory response and white matter damage after microinjections of endothelin-1 into the rat striatum",00068993,"Brain Research","1200","",0,0,0,0,0,0,0,0,2,1,3,3,3,1,3,3,3,2,0,0,0,2,1,3,1,1,0,32,0,32
2008,"Early and late pathogenic events of newborn mice encephalitis experimentally induced by Itacaiunas and Curionópolis bracorhabdoviruses infection",19326203,"PLoS ONE","3","3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,5,0,5
2008,"Diffuse axonal damage, myelin impairment, astrocytosis and inflammatory response following microinjections of NMDA into the rat striatum",03603997,"Inflammation","31","1",0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,3,0,2,3,1,2,3,0,0,0,0,21,0,21
2007,"Differential patterns of inflammatory response, axonal damage and myelin impairment following excitotoxic or ischemic damage to the trigeminal spinal nucleus of adult rats",00068993,"Brain Research","1172","1",0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,2,1,0,1,0,2,0,0,0,0,0,14,0,14
2007,"Exercise and food ad libitum reduce the impact of early in life nutritional inbalances on nitrergic activity of hippocampus and striatum",1028415X,"Nutritional Neuroscience","10","5-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2007,"Callosal axon arbors in the limb representations of the somatosensory cortex (SI) in the agouti (Dasyprocta primnolopha)",00219967,"Journal of Comparative Neurology","500","2",0,0,0,0,0,0,0,1,2,0,3,0,2,1,3,1,3,1,3,2,0,0,0,1,2,1,0,26,0,26
2007,"The organizational variability of the rodent somatosensory cortex",03341763,"Reviews in the Neurosciences","18","3-4",0,0,0,0,0,0,0,0,1,0,2,4,3,1,2,0,3,0,1,3,0,2,0,0,3,2,1,28,0,28
2007,"Differential effects of methylmercury intoxication in the rat's barrel field as evidenced by NADPH diaphorase histochemistry",0161813X,"NeuroToxicology","28","1",0,0,0,0,0,0,0,1,1,1,2,1,1,2,4,2,1,1,1,2,1,0,3,0,0,1,1,26,0,26
2006,"NADPH-diaphorase histochemical changes in the hippocampus, cerebellum and striatum are correlated with different modalities of exercise and watermaze performances",00144819,"Experimental Brain Research","175","2",0,0,0,0,0,0,0,4,0,1,2,3,1,2,0,0,0,0,1,0,1,2,3,0,0,0,0,20,0,20
2006,"Specialization of pyramidal cell structure in the visual areas V1, V2 and V3 of the South American rodent, Dasyprocta primnolopha",00068993,"Brain Research","1106","1",0,0,0,0,0,0,0,2,1,1,1,2,2,3,3,1,2,2,1,3,3,3,1,0,2,1,0,34,0,34
2006,"L-arginine treatment early in life influences NADPH-diaphorase neurons in visual cortex of normal and early-malnourished adult rats",00068993,"Brain Research","1072","1",0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,8
2006,"Neurotropism and neuropathological effects of selected rhabdoviruses on intranasally-infected newborn mice",0001706X,"Acta Tropica","97","2",0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2,1,2,0,2,0,1,0,14,0,14
2005,"Systematic analysis of axonal damage and inflammatory response in different white matter tracts of acutely injured rat spinal cord",00068993,"Brain Research","1066","1-2",0,0,0,0,0,0,1,3,5,2,3,0,7,2,3,1,4,1,0,1,1,1,1,2,0,0,0,38,0,38
2005,"Neuropil reactivity, distribution and morphology of NADPH diaphorase type I neurons in the barrel cortex of the adult mouse",08910618,"Journal of Chemical Neuroanatomy","30","2-3",0,0,0,0,0,0,0,3,1,1,1,4,6,0,1,0,0,0,3,1,0,0,4,1,1,1,0,28,0,28
2004,"Astrocytosis, microglia activation, oligodendrocyte degeneration, and pyknosis following acute spinal cord injury",00144886,"Experimental Neurology","190","2",0,0,0,0,0,1,4,11,8,6,4,3,5,3,3,2,6,3,3,4,1,1,5,1,0,1,0,75,0,75
2004,"A morphometric study of the progressive changes on NADPH diaphorase activity in the developing rat's barrel field",01680102,"Neuroscience Research","50","1",0,0,0,0,0,1,0,3,2,0,2,1,4,1,2,0,0,2,1,0,0,1,3,0,1,1,0,25,0,25
2004,"NADPH-diaphorase histochemical labeling patterns in the hippocampal neuropil and visual cortical neurons in weaned rats reared during lactation on different litter sizes",1028415X,"Nutritional Neuroscience","7","4",0,0,0,0,0,1,4,2,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,16
2004,"Neuropil and neuronal changes in hippocampal NADPH-diaphorase histochemistry in the ME7 model of murine prion disease",03051846,"Neuropathology and Applied Neurobiology","30","3",0,0,0,0,1,1,1,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
