,"Author: Nagamachi, Cleusa Yoshiko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 25 (Of the 160 documents considered for the h-index, 25 have been cited at least 25 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2020,"Evolutionary insights in Amazonian turtles (Testudines, Podocnemididae): Co-location of 5S rDNA and U2 snRNA and wide distribution of Tc1/Mariner",20466390,"Biology Open","9","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,2,1,11,0,11
2020,"Chromosomal signatures corroborate the phylogenetic relationships within akodontini (Rodentia, Sigmodontinae)",14220067,"International Journal of Molecular Sciences","21","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,8,0,8
2020,"Aqueous ethanol extract of Libidibia ferrea (Mart. Ex Tul) L.P. Queiroz (juca) exhibits antioxidant and migration-inhibiting activity in human gastric adenocarcinoma (ACP02) cells",19326203,"PLoS ONE","15","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,1,0,12,0,12
2019,"Unexpected species diversity in electric eels with a description of the strongest living bioelectricity generator",20411723,"Nature Communications","10","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,16,5,13,13,15,6,82,0,82
2019,"Identification of two independent X-autosome translocations in closely related mammalian (Proechimys) species",20452322,"Scientific Reports","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,2,2,0,0,15,0,15
2019,"Chromosomal phylogeny and comparative chromosome painting among Neacomys species (Rodentia, Sigmodontinae) from eastern Amazonia",14712148,"BMC Evolutionary Biology","19","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,2,1,0,16,0,16
2019,"Karyotype, evolution and phylogenetic reconstruction in Micronycterinae bats with implications for the ancestral karyotype of Phyllostomidae",14712148,"BMC Evolutionary Biology","19","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,1,9,0,9
2019,"First cytogenetic information for Lonchothrix emiliae and taxonomic implications for the genus taxa Lonchothrix + Mesomys (Rodentia, Echimyidae, Eumysopinae)",19326203,"PLoS ONE","14","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,5,0,5
2019,"Meiosis in the scorpion Tityus silvestris: New insights into achiasmatic chromosomes",20466390,"Biology Open","8","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,2,0,10,0,10
2019,"Karyoevolution of Crenicichla heckel 1840 (Cichlidae, Perciformes): A process mediated by inversions",20466390,"Biology Open","8","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4,0,4
2018,"Chromosome painting in Glyphorynchus spirurus (Vieillot, 1819) detects a new fission in Passeriformes",19326203,"PLoS ONE","13","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,1,8,0,8
2018,"Particular Chromosomal Distribution of Microsatellites in Five Species of the Genus Gymnotus (Teleostei, Gymnotiformes)",15458547,"Zebrafish","15","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,2,4,1,16,0,16
2018,"In situ localization of ribosomal sites in peckoltia and ancistomus (Loricariidae: Hypostominae) from the Amazon Basin",15458547,"Zebrafish","15","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,5,0,1,0,12,0,12
2018,"Physical mapping of repetitive DNA suggests 2n reduction in Amazon turtles Podocnemis (Testudines: Podocnemididae)",19326203,"PLoS ONE","13","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,4,4,1,1,1,23,0,23
2018,"Chromosomal evolution and phylogeny in the Nullicauda group (Chiroptera, Phyllostomidae): Evidence from multidirectional chromosome painting",14712148,"BMC Evolutionary Biology","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,0,4
2018,"Karyotypic diversity and evolution in a sympatric assemblage of Neotropical electric knifefish",16648021,"Frontiers in Genetics","9","MAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,2,2,0,11,0,11
2018,"Chromosome evolution in Cophomantini (Amphibia, Anura, Hylinae)",19326203,"PLoS ONE","13","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,2,5,3,6,1,34,0,34
2018,"Extensive karyotype reorganization in the fish Gymnotus arapaima (Gymnotiformes, gymnotidae) highlighted by zoo-fish analysis",16648021,"Frontiers in Genetics","9","JAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,0,1,1,12,0,12
2018,"Evaluation of the Genotoxic and Antigenotoxic Effects of Andiroba (Carapa guianensis Aublet) Oil and Nanoemulsion on Swiss Mice",16874110,"Journal of Nanomaterials","2018","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,2,1,12,0,12
2017,"Gymnotus coatesi (Gymnotiformes): A Case of Colocation of Multiple Sites of 18S rDNA with Telomeric Sequences",15458547,"Zebrafish","14","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,2,0,8,0,8
2017,"Chromosomal diversity and molecular divergence among three undescribed species of Neacomys (Rodentia, Sigmodontinae) separated by Amazonian rivers",19326203,"PLoS ONE","12","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,2,1,2,1,0,23,0,23
2017,"Oecomys catherinae (Sigmodontinae, Cricetidae): Evidence for chromosomal speciation?",19326203,"PLoS ONE","12","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,3,2,3,3,0,21,0,21
2017,"Highest Diploid Number among Gymnotiformes: First Cytogenetic Insights into Rhabdolichops (Sternopygidae)",15458547,"Zebrafish","14","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,1,2,1,14,0,14
2017,"The Karyotype of Microsternarchus aff. bilineatus: A First Case of y Chromosome Degeneration in Gymnotiformes",15458547,"Zebrafish","14","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,6,0,6
2017,"Karyotypic Evolution and Chromosomal Organization of Repetitive DNA Sequences in Species of Panaque, Panaqolus, and Scobinancistrus (Siluriformes and Loricariidae) from the Amazon Basin",15458547,"Zebrafish","14","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,4,1,3,0,16,0,16
2017,"Karyotype diversity and chromosomal organization of repetitive DNA in tityus obscurus (Scorpiones, Buthidae)",14712156,"BMC Genetics","18","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,6,5,4,0,3,0,31,0,31
2016,"New insights of karyoevolution in the Amazonian turtles Podocnemis expansa and Podocnemis unifilis (Testudines, Podocnemidae)",17558166,"Molecular Cytogenetics","9","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,0,1,1,0,11,0,11
2016,"Protein markers of synaptic behavior and chromatin remodeling of the neo-XY body in phyllostomid bats",00095915,"Chromosoma","125","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,7,0,7
2016,"First description of multivalent ring structures in eutherian mammalian meiosis: new chromosomal characterization of Cormura brevirostris (Emballonuridae, Chiroptera)",00166707,"Genetica","144","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,0,1,0,0,0,10,0,10
2016,"Chromosomal phylogeny of Vampyressine bats (Chiroptera, Phyllostomidae) with description of two new sex chromosome systems",14712148,"BMC Evolutionary Biology","16","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,2,2,1,4,1,1,22,0,22
2016,"Cryptic Species in Proechimys goeldii (Rodentia, Echimyidae)? A Case of Molecular and Chromosomal Differentiation in Allopatric Populations",14248581,"Cytogenetic and Genome Research","148","2-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,2,0,2,0,1,20,0,20
2016,"Integrated Cytogenetic and Mitochondrial DNA Analyses Indicate That Two Different Phenotypes of Hypancistrus (L066 and L333) Belong to the Same Species",15458547,"Zebrafish","13","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,6,0,14,0,14
2016,"Extensive chromosomal reorganization in the evolution of new world muroid rodents (Cricetidae, Sigmodontinae): Searching for Ancestral phylogenetic traits",19326203,"PLoS ONE","11","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,2,3,2,1,2,0,19,0,19
2015,"Clues on syntenic relationship among some species of Oryzomyini and Akodontini tribes (Rodentia: Sigmodontinae)",19326203,"PLoS ONE","10","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,5,2,2,0,2,1,0,18,0,18
2015,"Diversity and Karyotypic Evolution in the Genus Neacomys (Rodentia, Sigmodontinae)",14248581,"Cytogenetic and Genome Research","146","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4,3,0,1,0,0,0,15,0,15
2015,"Chromosomal variability between populations of electrophorus electricus Gill, 1864 (Pisces: Gymnotiformes: Gymnotidae)",15458547,"Zebrafish","12","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,1,2,0,10,0,10
2015,"Short-term exposure to low doses of rotenone induces developmental, biochemical, behavioral, and histological changes in fish",09441344,"Environmental Science and Pollution Research","22","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,2,10,8,4,5,7,3,2,55,0,55
2015,"Karyotypic and morphological divergence between two cryptic species of Eigenmannia in the Amazon basin with a new occurrence of XX/XY sex chromosomes (Gymnotiformes: Sternopygidae)",16796225,"Neotropical Ichthyology","13","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,1,1,0,0,9,0,9
2015,"Phylogenetic reconstruction by cross-species chromosome painting and G-banding in four species of Phyllostomini tribe (Chiroptera, Phyllostomidae) in the Brazilian Amazon: An independent evidence for monophyly",19326203,"PLoS ONE","10","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,3,2,0,2,0,1,0,0,15,0,15
2015,"X1X1X2X2/X1X2 Y sex chromosome systems in the Neotropical Gymnotiformes electric fish of the genus Brachyhypopomus",14154757,"Genetics and Molecular Biology","38","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,2,0,0,8,0,8
2014,"Chromosomal diversity in three species of electric fish (Apteronotidae, Gymnotiformes) from the Amazon Basin",14154757,"Genetics and Molecular Biology","37","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,1,0,9,0,9
2014,"Cytogenetics of the Brazilian Bolitoglossa paraensis (Unterstein, 1930) salamanders (Caudata, Plethodontidae)",14154757,"Genetics and Molecular Biology","37","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2014,"FISH in micronucleus test demonstrates aneugenic action of rotenone in a common freshwater fish species, Nile tilapia (Oreochromis niloticus)",02678357,"Mutagenesis","29","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,1,0,1,1,3,2,1,19,0,19
2013,"Chromosome painting reveals multiple rearrangements between gymnotus capanema and gymnotus carapo (gymnotidae, gymnotiformes)",14248581,"Cytogenetic and Genome Research","141","2-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,3,0,0,1,0,9,0,9
2013,"Chromosome evolution in dendropsophini (amphibia, anura, hylinae)",14248581,"Cytogenetic and Genome Research","141","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,4,4,3,4,3,3,2,1,1,38,0,38
2013,"Profile of micronucleus frequencies and nuclear abnormalities in different species of electric fishes (Gymnotiformes) from the Eastern Amazon",14154757,"Genetics and Molecular Biology","36","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,2,1,1,1,0,1,0,12,0,12
2013,"A phylogenetic analysis using multidirectional chromosome painting of three species (Uroderma magnirostrum, U. bilobatum and Artibeus obscurus) of subfamily Stenodermatinae (Chiroptera-Phyllostomidae)",09673849,"Chromosome Research","21","4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,1,4,1,0,2,0,3,1,0,24,0,24
2013,"FISH with whole chromosome and telomeric probes demonstrates huge karyotypic reorganization with ITS between two species of Oryzomyini (Sigmodontinae, Rodentia): Hylaeamys megacephalus probes on Cerradomys langguthi karyotype",09673849,"Chromosome Research","21","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,1,1,7,3,4,1,1,1,1,35,0,35
2013,"Proechimys (Rodentia, Echimyidae): Characterization and taxonomic considerations of a form with a very low diploid number and a multiple sex chromosome system",14712156,"BMC Genetics","14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,1,2,0,3,1,0,18,0,18
