,"Author: Do-Nascimento, José Luíz Martins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 35 (Of the 112 documents considered for the h-index, 35 have been cited at least 35 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2011,"Kojic acid, a secondary metabolite from Aspergillus sp., acts as an inducer of macrophage activation",10656995,"Cell Biology International","35","4",0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,2,2,1,4,6,4,2,2,4,6,2,0,48,0,48
2011,"Glutamate induces glutathione efflux mediated by glutamate/aspartate transporter in retinal cell cultures",03643190,"Neurochemical Research","36","3",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,10,0,10
2011,"Genotoxicity of mercury: Contributing for the analysis of Amazonian populations",01604120,"Environment International","37","1",0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,5,4,6,7,1,8,1,0,1,0,0,42,0,42
2010,"Adult brain nitrergic activity after concomitant prenatal exposure to ethanol and methyl mercury",00651281,"Acta Histochemica","112","6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,1,0,1,0,8,0,8
2010,"A theoretical study for oxidative metabolism of acetaminophen",15461955,"Journal of Computational and Theoretical Nanoscience","7","10",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,5
2010,"Scopolamine- and diazepam-induced amnesia are blocked by systemic and intraseptal administration of substance P and choline chloride",01969781,"Peptides","31","9",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2010,"Pathogenic action of Plasmodium gallinaceum in chickens: Brain histology and nitric oxide production by blood monocyte-derived macrophages",03044017,"Veterinary Parasitology","172","1-2",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,8,0,8
2010,"Activity of the julocrotine, a glutarimide alkaloid from Croton pullei var. glabrior, on Leishmania (L.) amazonensis",09320113,"Parasitology Research","107","5",0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,4,1,0,5,1,2,3,2,7,1,5,2,44,0,44
2010,"Mercury in the Tapajós River basin, Brazilian Amazon: A review",01604120,"Environment International","36","6",0,0,0,0,0,0,0,0,0,0,0,8,6,5,12,8,6,13,15,19,12,30,16,9,14,13,8,194,0,194
2010,"Pharmacological characterization of glutamate Na+-independent transport in retinal cell cultures: Implications in the glutathione metabolism",01970186,"Neurochemistry International","56","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0,4
