,"Author: Herculano, Anderson Manoel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"h-index = 33 (Of the 91 documents considered for the h-index, 33 have been cited at least 33 times.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<2001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Subtotal,>2026,Total
2015,"Interactions between serotonin and glutamate-nitric oxide pathways in zebrafish scototaxis",00913057,"Pharmacology Biochemistry and Behavior","129","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,5,3,0,2,4,2,4,0,27,0,27
2014,"Serotonergic modulation of zebrafish behavior: Towards a paradox",02785846,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","55","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,5,10,13,16,13,16,13,10,11,10,138,0,138
2014,"Nerve growth factor inhibits osmotic swelling of rat retinal glial (Müller) and bipolar cells by inducing glial cytokine release",00223042,"Journal of Neurochemistry","131","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,4,6,2,3,0,0,2,1,0,33,0,33
2014,"Supplementation of bovine embryo culture medium with L-arginine improves embryo quality via nitric oxide production",1040452X,"Molecular Reproduction and Development","81","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,2,2,1,2,1,1,2,3,2,26,0,26
2014,"Ascorbic acid protects against anxiogenic-like effect induced by methylmercury in zebrafish: Action on the serotonergic system",15458547,"Zebrafish","11","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,7,5,4,2,3,3,1,2,35,0,35
2014,"Fingerprinting of psychoactive drugs in zebrafish anxiety-like behaviors",19326203,"PLoS ONE","9","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,7,7,11,9,4,10,3,10,9,2,91,0,91
2014,"Nitric oxide as a regulatory molecule in the processing of the visual stimulus",10898603,"Nitric Oxide - Biology and Chemistry","36","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,4,3,2,1,1,1,0,0,18,0,18
2014,"Fluoxetine and WAY 100,635 dissociate increases in scototaxis and analgesia induced by conspecific alarm substance in zebrafish (Danio rerio Hamilton 1822)",00913057,"Pharmacology Biochemistry and Behavior","124","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,4,4,8,8,3,0,5,4,1,51,0,51
2014,"Comparative study of mercury speciation in commercial fishes of the Brazilian Amazon",09441344,"Environmental Science and Pollution Research","21","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,8,5,10,13,10,10,3,6,3,74,0,74
2014,"Therapeutic concentration of morphine reduces oxidative stress in glioma cell line",0100879X,"Brazilian Journal of Medical and Biological Research","47","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,4,6,1,2,3,0,29,0,29
2013,"GABA and glutamate transporters: New events and function in the vertebrate retina",19843054,"Psychology and Neuroscience","6","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,3
2013,"Local NO synthase inhibition produces histological and functional recovery in Achilles tendon of rats after tenotomy: Tendon repair and local NOS inhibition",0302766X,"Cell and Tissue Research","353","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,1,1,0,1,0,1,11,0,11
2013,"Role of serotonin in zebrafish (Danio rerio) anxiety: Relationship with serotonin levels and effect of buspirone, WAY 100635, SB 224289, fluoxetine and para-chlorophenylalanine (pCPA) in two behavioral models",00283908,"Neuropharmacology","71","",0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,13,12,8,15,18,16,17,13,16,19,9,177,0,177
2013,"Behavioral and neurochemical changes in the zebrafish leopard strain",16011848,"Genes, Brain and Behavior","12","5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,7,7,6,7,3,8,4,2,7,7,2,73,0,73
2013,"The serotonergic system of zebrafish: Genomics, neuroanatomy and neuropharmacology",,"Serotonin: Biosynthesis, Regulation and Health Implications","","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,4,2,3,1,1,0,1,1,0,19,0,19
2013,""" Limbic associative"" and "" autonomic"" amygdala in teleosts: A review of the evidence",08910618,"Journal of Chemical Neuroanatomy","48-49","",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,8,10,4,4,6,10,1,3,2,2,68,0,68
2013,"A combined experimental and theoretical approach for radical-scavenging activity of edaravone and its related derivatives",10400400,"Structural Chemistry","24","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,1,1,0,0,1,0,10,0,10
2012,"Time to recognize zebrafish 'affective' behavior",00057959,"Behaviour","149","10-12",0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,5,6,6,5,3,4,1,4,3,0,56,0,56
2012,"A comparison of the light/dark and novel tank tests in zebrafish",00057959,"Behaviour","149","10-12",0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,5,6,8,8,7,9,11,5,8,5,90,0,90
2012,"Determination of glutamate uptake by high performance liquid chromatography (HPLC) in preparations of retinal tissue",15700232,"Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences","907","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,3,3,0,3,1,4,1,0,22,0,22
2012,"An electronic study of pyrazolones drugs on agranulocytosis",10542523,"Medicinal Chemistry Research","21","7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4,0,4
2011,"Possible role of serotoninergic system in the neurobehavioral impairment induced by acute methylmercury exposure in zebrafish (Danio rerio)",08920362,"Neurotoxicology and Teratology","33","6",0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,4,6,5,6,8,5,4,1,6,8,2,2,68,0,68
2011,"Adenosine A1, but not A2, receptor blockade increases anxiety and arousal in zebrafish",17427835,"Basic and Clinical Pharmacology and Toxicology","109","3",0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,7,4,8,6,8,1,5,3,3,4,5,3,65,0,65
2011,"Molecular chaperones: Toward new therapeutic tools",07533322,"Biomedicine and Pharmacotherapy","65","4",0,0,0,0,0,0,0,0,0,0,0,1,6,10,4,2,3,3,0,1,3,1,5,3,0,3,0,45,0,45
2011,"Pharmacological analysis of zebrafish (Danio rerio) scototaxis",02785846,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","35","2",0,0,0,0,0,0,0,0,0,0,0,8,15,8,17,12,16,10,11,16,19,17,15,15,17,20,3,219,0,219
2011,"Glutamate induces glutathione efflux mediated by glutamate/aspartate transporter in retinal cell cultures",03643190,"Neurochemical Research","36","3",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,10,0,10
